student_id,class_id,midterm_score,final_score,grade_value,letter_grade,registration_date
3,54,6.50,2.75,3.90,F,2026-02-08
3,73,6.50,6.25,6.30,C,2026-07-01
3,78,,,,,2026-08-22
3,88,,,,,2026-08-22
3,89,,,,,2026-08-22
4,1,8.50,7.25,7.60,B,2024-08-27
4,2,7.00,7.50,7.40,B,2024-08-27
4,3,5.50,8.25,7.40,B,2024-08-27
4,5,7.00,7.75,7.50,B,2024-08-27
4,9,7.00,8.50,8.10,B+,2025-01-30
4,10,7.00,9.75,8.90,A,2025-01-30
4,11,4.50,6.00,5.60,C,2025-01-30
4,13,9.00,7.75,8.10,B+,2025-01-30
4,15,8.50,8.00,8.20,B+,2025-01-30
4,26,7.00,6.75,6.80,C+,2025-08-27
4,28,9.50,7.00,7.80,B,2025-08-27
4,36,6.00,10.00,8.80,A,2025-08-27
4,38,7.00,8.50,8.10,B+,2025-08-27
4,47,7.00,9.50,8.80,A,2026-01-30
4,48,8.50,6.00,6.80,C+,2026-01-30
4,62,5.50,7.75,7.10,B,2026-01-30
4,63,7.50,8.75,8.40,B+,2026-01-30
4,78,,,,,2026-09-02
4,99,,,,,2026-09-02
4,100,,,,,2026-09-02
5,1,6.50,7.25,7.00,B,2024-09-05
5,2,5.50,2.75,3.60,F,2024-09-05
5,3,4.50,5.25,5.00,D+,2024-09-05
5,5,5.50,4.50,4.80,D,2024-09-05
5,9,5.00,8.75,7.60,B,2025-02-01
5,10,7.50,6.25,6.60,C+,2025-02-01
5,11,5.50,6.00,5.90,C,2025-02-01
5,13,5.00,8.50,7.50,B,2025-02-01
5,15,5.00,7.75,6.90,C+,2025-02-01
5,20,6.00,5.25,5.50,C,2025-06-23
5,26,8.00,8.50,8.40,B+,2025-08-20
5,28,5.50,4.75,5.00,D+,2025-08-20
5,36,7.00,5.75,6.10,C,2025-08-20
5,38,6.00,4.50,5.00,D+,2025-08-20
5,47,9.00,8.25,8.50,A,2026-02-07
5,48,6.00,8.00,7.40,B,2026-02-07
5,62,5.00,5.00,5.00,D+,2026-02-07
5,63,5.50,4.00,4.50,D,2026-02-07
6,1,7.50,4.25,5.20,D+,2024-09-09
6,2,5.50,6.00,5.90,C,2024-09-09
6,3,3.50,4.75,4.40,D,2024-09-09
6,4,4.00,8.50,7.20,B,2024-09-09
6,9,5.50,4.75,5.00,D+,2025-02-01
6,10,6.00,3.00,3.90,F,2025-02-01
6,11,6.50,0.50,2.30,F,2025-02-01
6,12,3.50,5.25,4.70,D,2025-02-01
6,21,5.00,7.75,6.90,C+,2025-06-25
6,23,4.50,6.00,5.60,C,2025-07-01
6,26,5.00,5.00,5.00,D+,2025-08-24
6,28,7.50,5.25,5.90,C,2025-08-24
6,31,6.00,5.50,5.70,C,2025-08-24
6,34,5.50,6.50,6.20,C,2025-08-24
6,47,6.50,6.75,6.70,C+,2026-01-29
6,48,5.50,5.50,5.50,C,2026-01-29
6,55,4.00,3.25,3.50,F,2026-01-29
6,56,4.50,6.75,6.10,C,2026-01-29
6,78,,,,,2026-08-26
6,91,,,,,2026-08-26
6,92,,,,,2026-08-26
7,1,6.00,8.50,7.80,B,2024-09-11
7,2,7.00,6.25,6.50,C+,2024-09-11
7,3,5.00,6.25,5.90,C,2024-09-11
7,5,6.00,4.75,5.10,D+,2024-09-11
7,9,5.00,6.00,5.70,C,2025-01-29
7,10,5.00,4.50,4.70,D,2025-01-29
7,11,5.50,6.25,6.00,C,2025-01-29
7,13,6.50,6.50,6.50,C+,2025-01-29
7,14,4.50,6.00,5.60,C,2025-01-29
7,26,6.00,7.00,6.70,C+,2025-09-01
7,28,6.50,7.00,6.90,C+,2025-09-01
7,36,8.50,6.50,7.10,B,2025-09-01
7,37,5.00,8.25,7.30,B,2025-09-01
7,47,6.50,5.50,5.80,C,2026-02-02
7,48,7.50,9.50,8.90,A,2026-02-02
7,59,6.00,2.25,3.40,F,2026-02-02
7,60,5.50,4.75,5.00,D+,2026-02-02
7,75,6.50,9.25,8.40,B+,2026-06-30
7,78,,,,,2026-08-28
7,95,,,,,2026-08-28
7,96,,,,,2026-08-28
8,1,5.00,6.00,5.70,C,2024-08-26
8,2,8.00,6.25,6.80,C+,2024-08-26
8,3,7.00,4.50,5.30,D+,2024-08-26
8,6,7.00,10.00,9.10,A,2024-08-26
8,7,7.50,8.25,8.00,B+,2024-08-26
8,9,7.00,7.50,7.40,B,2025-02-05
8,10,8.00,4.75,5.70,C,2025-02-05
8,11,6.50,5.50,5.80,C,2025-02-05
8,16,7.50,8.50,8.20,B+,2025-02-05
8,17,6.00,7.25,6.90,C+,2025-02-05
8,26,5.50,5.25,5.30,D+,2025-08-29
8,28,6.50,5.75,6.00,C,2025-08-29
8,41,4.50,6.00,5.60,C,2025-08-29
8,42,5.50,6.25,6.00,C,2025-08-29
8,47,6.00,9.50,8.50,A,2026-02-07
8,48,6.50,10.00,9.00,A,2026-02-07
8,66,6.00,10.00,8.80,A,2026-02-07
8,67,6.00,6.75,6.50,C+,2026-02-07
8,78,,,,,2026-08-28
8,105,,,,,2026-08-28
8,106,,,,,2026-08-28
9,1,7.50,10.00,9.30,A,2024-08-31
9,2,7.50,8.50,8.20,B+,2024-08-31
9,3,7.00,8.50,8.10,B+,2024-08-31
9,4,10.00,10.00,10.00,A,2024-08-31
9,9,10.00,10.00,10.00,A,2025-02-05
9,10,9.00,9.25,9.20,A,2025-02-05
9,11,8.00,10.00,9.40,A,2025-02-05
9,12,8.00,9.75,9.20,A,2025-02-05
9,26,9.00,7.50,8.00,B+,2025-08-19
9,28,8.00,10.00,9.40,A,2025-08-19
9,31,8.50,9.25,9.00,A,2025-08-19
9,33,9.50,8.00,8.50,A,2025-08-19
9,47,10.00,9.75,9.80,A,2026-02-02
9,48,9.00,10.00,9.70,A,2026-02-02
9,53,9.00,9.25,9.20,A,2026-02-02
9,54,9.50,8.00,8.50,A,2026-02-02
9,78,,,,,2026-08-29
9,88,,,,,2026-08-29
9,89,,,,,2026-08-29
10,1,7.00,6.00,6.30,C,2024-09-01
10,2,6.50,8.50,7.90,B,2024-09-01
10,3,5.00,5.50,5.40,D+,2024-09-01
10,5,7.00,7.00,7.00,B,2024-09-01
10,9,7.00,6.00,6.30,C,2025-01-27
10,10,7.50,6.75,7.00,B,2025-01-27
10,11,6.00,7.00,6.70,C+,2025-01-27
10,13,7.00,5.00,5.60,C,2025-01-27
10,14,8.50,10.00,9.60,A,2025-01-27
10,26,6.50,6.25,6.30,C,2025-08-22
10,28,6.50,4.75,5.30,D+,2025-08-22
10,36,7.50,7.50,7.50,B,2025-08-22
10,37,5.00,6.25,5.90,C,2025-08-22
10,47,7.50,9.50,8.90,A,2026-02-10
10,48,7.50,7.25,7.30,B,2026-02-10
10,59,6.50,9.00,8.30,B+,2026-02-10
10,60,7.50,6.00,6.50,C+,2026-02-10
10,78,,,,,2026-08-21
10,95,,,,,2026-08-21
10,96,,,,,2026-08-21
11,1,9.00,10.00,9.70,A,2024-09-07
11,2,10.00,9.00,9.30,A,2024-09-07
11,3,6.50,8.75,8.10,B+,2024-09-07
11,4,10.00,6.25,7.40,B,2024-09-07
11,9,7.50,6.50,6.80,C+,2025-01-31
11,10,6.50,8.75,8.10,B+,2025-01-31
11,11,8.50,6.75,7.30,B,2025-01-31
11,12,8.50,7.00,7.50,B,2025-01-31
11,26,9.50,8.00,8.50,A,2025-08-26
11,28,7.50,7.00,7.20,B,2025-08-26
11,31,6.50,7.75,7.40,B,2025-08-26
11,34,8.00,7.00,7.30,B,2025-08-26
11,47,8.00,10.00,9.40,A,2026-01-30
11,48,9.50,10.00,9.90,A,2026-01-30
11,55,7.00,7.25,7.20,B,2026-01-30
11,56,7.50,7.00,7.20,B,2026-01-30
11,78,,,,,2026-08-21
11,91,,,,,2026-08-21
11,92,,,,,2026-08-21
12,1,8.50,10.00,9.60,A,2024-09-08
12,2,10.00,7.75,8.40,B+,2024-09-08
12,3,7.50,5.75,6.30,C,2024-09-08
12,4,8.50,7.25,7.60,B,2024-09-08
12,9,10.00,7.25,8.10,B+,2025-01-29
12,10,7.50,9.00,8.60,A,2025-01-29
12,11,5.50,5.00,5.20,D+,2025-01-29
12,12,8.50,8.75,8.70,A,2025-01-29
12,26,6.50,9.75,8.80,A,2025-08-31
12,28,8.50,7.00,7.50,B,2025-08-31
12,31,7.50,6.75,7.00,B,2025-08-31
12,33,6.00,6.25,6.20,C,2025-08-31
12,47,8.50,8.50,8.50,A,2026-02-04
12,48,9.50,4.25,5.80,C,2026-02-04
12,53,6.00,7.00,6.70,C+,2026-02-04
12,54,8.00,7.25,7.50,B,2026-02-04
12,78,,,,,2026-08-23
12,88,,,,,2026-08-23
12,89,,,,,2026-08-23
13,1,5.00,8.25,7.30,B,2024-09-04
13,2,7.50,3.50,4.70,D,2024-09-04
13,3,6.00,8.25,7.60,B,2024-09-04
13,4,8.00,5.75,6.40,C,2024-09-04
13,9,5.50,4.50,4.80,D,2025-02-08
13,10,6.50,9.25,8.40,B+,2025-02-08
13,11,6.00,8.00,7.40,B,2025-02-08
13,12,6.50,5.00,5.50,C,2025-02-08
13,26,6.50,7.25,7.00,B,2025-08-31
13,28,7.00,7.50,7.40,B,2025-08-31
13,31,6.50,6.50,6.50,C+,2025-08-31
13,33,6.50,7.25,7.00,B,2025-08-31
13,47,7.00,7.75,7.50,B,2026-02-08
13,48,7.00,8.50,8.10,B+,2026-02-08
13,53,5.00,6.50,6.10,C,2026-02-08
13,54,5.50,5.50,5.50,C,2026-02-08
13,78,,,,,2026-08-22
13,88,,,,,2026-08-22
13,89,,,,,2026-08-22
14,1,6.50,4.00,4.80,D,2024-09-06
14,2,5.50,8.25,7.40,B,2024-09-06
14,3,4.50,6.00,5.60,C,2024-09-06
14,5,5.00,3.50,4.00,D,2024-09-06
14,9,6.50,6.00,6.20,C,2025-01-28
14,10,5.00,5.75,5.50,C,2025-01-28
14,11,7.00,7.50,7.40,B,2025-01-28
14,13,7.50,5.25,5.90,C,2025-01-28
14,14,6.50,6.75,6.70,C+,2025-01-28
14,26,7.50,8.75,8.40,B+,2025-08-21
14,28,6.00,9.75,8.60,A,2025-08-21
14,36,6.00,6.75,6.50,C+,2025-08-21
14,37,6.50,8.00,7.60,B,2025-08-21
14,47,6.50,7.75,7.40,B,2026-02-07
14,48,6.50,5.00,5.50,C,2026-02-07
14,59,7.00,7.50,7.40,B,2026-02-07
14,60,4.50,8.25,7.10,B,2026-02-07
14,78,,,,,2026-09-01
14,95,,,,,2026-09-01
14,96,,,,,2026-09-01
15,1,10.00,10.00,10.00,A,2024-09-10
15,2,9.00,8.00,8.30,B+,2024-09-10
15,3,8.00,6.75,7.10,B,2024-09-10
15,5,8.00,5.75,6.40,C,2024-09-10
15,9,10.00,9.25,9.50,A,2025-02-02
15,10,7.00,4.75,5.40,D+,2025-02-02
15,11,8.00,8.75,8.50,A,2025-02-02
15,13,6.50,6.50,6.50,C+,2025-02-02
15,14,10.00,7.25,8.10,B+,2025-02-02
15,26,9.50,10.00,9.90,A,2025-08-20
15,28,8.00,10.00,9.40,A,2025-08-20
15,36,9.00,8.75,8.80,A,2025-08-20
15,37,8.50,10.00,9.60,A,2025-08-20
15,47,10.00,10.00,10.00,A,2026-01-27
15,48,9.00,9.00,9.00,A,2026-01-27
15,59,9.50,9.25,9.30,A,2026-01-27
15,60,8.00,9.25,8.90,A,2026-01-27
15,78,,,,,2026-09-02
15,95,,,,,2026-09-02
15,96,,,,,2026-09-02
16,1,4.50,5.00,4.90,D,2024-09-06
16,2,2.50,5.00,4.30,D,2024-09-06
16,3,1.50,3.25,2.70,F,2024-09-06
16,6,3.00,5.50,4.80,D,2024-09-06
16,7,3.50,3.25,3.30,F,2024-09-06
16,9,3.00,6.00,5.10,D+,2025-01-28
16,10,4.50,5.25,5.00,D+,2025-01-28
16,11,4.00,6.75,5.90,C,2025-01-28
16,16,5.00,3.50,4.00,D,2025-01-28
16,17,4.50,5.25,5.00,D+,2025-01-28
16,22,4.00,4.50,4.40,D,2025-06-25
17,1,7.00,6.25,6.50,C+,2024-08-29
17,2,7.50,8.75,8.40,B+,2024-08-29
17,3,5.50,6.00,5.90,C,2024-08-29
17,8,6.50,8.75,8.10,B+,2024-08-29
17,9,8.00,6.00,6.60,C+,2025-01-28
17,10,8.00,6.75,7.10,B,2025-01-28
17,11,7.50,7.25,7.30,B,2025-01-28
17,18,5.50,6.50,6.20,C,2025-01-28
17,19,7.00,7.50,7.40,B,2025-01-28
17,26,6.00,5.25,5.50,C,2025-08-29
17,28,8.00,7.00,7.30,B,2025-08-29
17,44,4.50,8.25,7.10,B,2025-08-29
17,45,4.00,7.25,6.30,C,2025-08-29
17,47,7.50,6.75,7.00,B,2026-02-04
17,48,6.50,9.75,8.80,A,2026-02-04
17,70,6.50,7.25,7.00,B,2026-02-04
17,71,7.00,5.50,6.00,C,2026-02-04
17,78,,,,,2026-08-23
17,110,,,,,2026-08-23
17,111,,,,,2026-08-23
18,1,6.50,6.25,6.30,C,2024-08-28
18,2,7.00,7.25,7.20,B,2024-08-28
18,3,4.50,3.50,3.80,F,2024-08-28
18,6,5.00,8.50,7.50,B,2024-08-28
18,7,6.00,3.50,4.30,D,2024-08-28
18,9,6.00,6.00,6.00,C,2025-01-28
18,10,5.50,6.25,6.00,C,2025-01-28
18,11,3.00,5.00,4.40,D,2025-01-28
18,16,8.00,3.75,5.00,D+,2025-01-28
18,17,5.50,6.75,6.40,C,2025-01-28
18,26,5.50,4.25,4.60,D,2025-08-20
18,28,4.50,7.75,6.80,C+,2025-08-20
18,41,5.50,5.25,5.30,D+,2025-08-20
18,42,4.50,6.50,5.90,C,2025-08-20
18,47,6.00,6.00,6.00,C,2026-02-10
18,48,5.50,6.50,6.20,C,2026-02-10
18,66,5.50,3.50,4.10,D,2026-02-10
18,67,7.00,5.00,5.60,C,2026-02-10
18,78,,,,,2026-08-23
18,105,,,,,2026-08-23
18,106,,,,,2026-08-23
19,1,7.00,8.00,7.70,B,2024-09-10
19,2,6.50,6.00,6.20,C,2024-09-10
19,3,8.00,3.75,5.00,D+,2024-09-10
19,5,7.00,9.00,8.40,B+,2024-09-10
19,9,8.50,6.75,7.30,B,2025-01-30
19,10,7.50,6.75,7.00,B,2025-01-30
19,11,8.00,9.00,8.70,A,2025-01-30
19,13,7.50,7.75,7.70,B,2025-01-30
19,15,7.00,7.75,7.50,B,2025-01-30
19,26,9.00,7.50,8.00,B+,2025-09-01
19,28,6.00,9.00,8.10,B+,2025-09-01
19,36,9.00,10.00,9.70,A,2025-09-01
19,38,6.50,5.75,6.00,C,2025-09-01
19,47,8.00,10.00,9.40,A,2026-02-09
19,48,7.50,7.50,7.50,B,2026-02-09
19,62,8.00,6.00,6.60,C+,2026-02-09
19,63,9.00,5.75,6.70,C+,2026-02-09
19,78,,,,,2026-08-25
19,99,,,,,2026-08-25
19,100,,,,,2026-08-25
20,1,6.50,8.75,8.10,B+,2024-08-23
20,2,7.00,7.50,7.40,B,2024-08-23
20,3,6.00,3.50,4.30,D,2024-08-23
20,5,8.00,7.50,7.70,B,2024-08-23
20,9,9.00,7.25,7.80,B,2025-02-01
20,10,7.00,6.50,6.70,C+,2025-02-01
20,11,8.50,7.25,7.60,B,2025-02-01
20,13,8.00,2.50,4.20,D,2025-02-01
20,14,8.50,7.25,7.60,B,2025-02-01
20,26,7.50,9.00,8.60,A,2025-09-02
20,28,7.50,8.25,8.00,B+,2025-09-02
20,36,6.50,7.50,7.20,B,2025-09-02
20,37,6.50,5.75,6.00,C,2025-09-02
20,47,7.50,10.00,9.30,A,2026-02-01
20,48,9.00,9.75,9.50,A,2026-02-01
20,59,7.00,7.00,7.00,B,2026-02-01
20,60,8.00,9.75,9.20,A,2026-02-01
20,78,,,,,2026-08-19
20,95,,,,,2026-08-19
20,96,,,,,2026-08-19
21,25,7.50,4.00,5.10,D+,2025-09-06
21,27,8.00,5.50,6.30,C,2025-09-06
21,29,5.00,3.25,3.80,F,2025-09-06
21,35,7.00,4.75,5.40,D+,2025-09-06
21,46,8.00,6.25,6.80,C+,2026-01-31
21,49,9.50,6.00,7.10,B,2026-01-31
21,50,5.50,8.25,7.40,B,2026-01-31
21,57,8.00,6.25,6.80,C+,2026-01-31
21,58,8.50,6.25,6.90,C+,2026-01-31
21,77,,,,,2026-08-25
21,80,,,,,2026-08-25
21,94,,,,,2026-08-25
21,97,,,,,2026-08-25
22,25,9.50,9.25,9.30,A,2025-08-26
22,27,10.00,10.00,10.00,A,2025-08-26
22,29,10.00,10.00,10.00,A,2025-08-26
22,30,9.00,10.00,9.70,A,2025-08-26
22,46,9.00,10.00,9.70,A,2026-02-03
22,49,9.00,10.00,9.70,A,2026-02-03
22,50,10.00,10.00,10.00,A,2026-02-03
22,51,10.00,9.25,9.50,A,2026-02-03
22,77,,,,,2026-08-19
22,80,,,,,2026-08-19
22,83,,,,,2026-08-19
22,84,,,,,2026-08-19
23,25,4.00,6.25,5.60,C,2025-09-06
23,27,5.50,5.50,5.50,C,2025-09-06
23,29,5.00,4.75,4.80,D,2025-09-06
23,35,7.00,7.50,7.40,B,2025-09-06
23,46,5.50,3.75,4.30,D,2026-02-08
23,49,5.00,4.00,4.30,D,2026-02-08
23,50,5.50,4.75,5.00,D+,2026-02-08
23,57,6.00,6.00,6.00,C,2026-02-08
23,58,7.00,7.50,7.40,B,2026-02-08
23,77,,,,,2026-08-20
23,80,,,,,2026-08-20
23,94,,,,,2026-08-20
23,97,,,,,2026-08-20
24,25,6.50,7.75,7.40,B,2025-09-08
24,27,8.00,5.00,5.90,C,2025-09-08
24,29,6.00,5.25,5.50,C,2025-09-08
24,35,6.00,5.50,5.70,C,2025-09-08
24,46,8.00,6.00,6.60,C+,2026-02-10
24,49,7.50,9.75,9.10,A,2026-02-10
24,50,6.50,5.25,5.60,C,2026-02-10
24,57,7.00,2.50,3.90,F,2026-02-10
24,61,7.00,7.00,7.00,B,2026-02-10
24,74,6.50,7.75,7.40,B,2026-06-25
24,77,,,,,2026-08-28
24,80,,,,,2026-08-28
24,94,,,,,2026-08-28
24,98,,,,,2026-08-28
25,25,8.50,8.50,8.50,A,2025-08-27
25,27,5.50,5.25,5.30,D+,2025-08-27
25,29,5.00,6.50,6.10,C,2025-08-27
25,43,5.50,5.00,5.20,D+,2025-08-27
25,46,6.00,4.25,4.80,D,2026-02-04
25,49,8.00,6.75,7.10,B,2026-02-04
25,50,6.50,5.25,5.60,C,2026-02-04
25,68,6.00,4.75,5.10,D+,2026-02-04
25,69,6.50,7.50,7.20,B,2026-02-04
25,77,,,,,2026-08-26
25,80,,,,,2026-08-26
25,108,,,,,2026-08-26
25,109,,,,,2026-08-26
26,25,6.50,5.75,6.00,C,2025-09-03
26,27,8.00,7.25,7.50,B,2025-09-03
26,29,7.00,9.00,8.40,B+,2025-09-03
26,30,8.00,5.75,6.40,C,2025-09-03
26,46,7.50,7.50,7.50,B,2026-02-04
26,49,9.00,9.00,9.00,A,2026-02-04
26,50,7.00,4.75,5.40,D+,2026-02-04
26,51,8.50,7.00,7.50,B,2026-02-04
26,77,,,,,2026-08-21
26,80,,,,,2026-08-21
26,83,,,,,2026-08-21
26,87,,,,,2026-08-21
27,25,6.50,6.00,6.20,C,2025-09-12
27,27,5.50,5.00,5.20,D+,2025-09-12
27,29,5.50,4.25,4.60,D,2025-09-12
27,35,3.50,5.25,4.70,D,2025-09-12
27,46,5.00,7.00,6.40,C,2026-02-02
27,49,5.00,9.25,8.00,B+,2026-02-02
27,50,6.50,5.50,5.80,C,2026-02-02
27,57,6.00,7.75,7.20,B,2026-02-02
27,58,7.50,6.25,6.60,C+,2026-02-02
27,77,,,,,2026-08-25
27,80,,,,,2026-08-25
27,94,,,,,2026-08-25
27,97,,,,,2026-08-25
28,25,7.00,6.75,6.80,C+,2025-09-11
28,27,8.50,6.50,7.10,B,2025-09-11
28,29,7.50,9.00,8.60,A,2025-09-11
28,30,6.00,8.75,7.90,B,2025-09-11
28,46,8.50,7.75,8.00,B+,2026-02-02
28,49,8.00,9.25,8.90,A,2026-02-02
28,50,7.50,7.25,7.30,B,2026-02-02
28,51,7.50,8.00,7.90,B,2026-02-02
28,77,,,,,2026-08-19
28,80,,,,,2026-08-19
28,83,,,,,2026-08-19
28,87,,,,,2026-08-19
29,25,7.50,5.75,6.30,C,2025-08-26
29,27,6.50,6.75,6.70,C+,2025-08-26
29,29,6.50,6.00,6.20,C,2025-08-26
29,35,4.50,5.25,5.00,D+,2025-08-26
29,46,5.50,4.50,4.80,D,2026-02-06
29,49,6.00,6.50,6.40,C,2026-02-06
29,50,5.00,8.25,7.30,B,2026-02-06
29,57,6.00,8.25,7.60,B,2026-02-06
29,58,8.00,4.50,5.60,C,2026-02-06
29,77,,,,,2026-08-25
29,80,,,,,2026-08-25
29,94,,,,,2026-08-25
29,97,,,,,2026-08-25
30,25,7.00,5.75,6.10,C,2025-09-12
30,27,6.50,5.50,5.80,C,2025-09-12
30,29,5.50,6.75,6.40,C,2025-09-12
30,30,7.00,6.50,6.70,C+,2025-09-12
30,46,6.00,6.25,6.20,C,2026-01-27
30,49,6.50,5.75,6.00,C,2026-01-27
30,50,7.00,5.25,5.80,C,2026-01-27
30,51,5.50,7.50,6.90,C+,2026-01-27
30,77,,,,,2026-08-20
30,80,,,,,2026-08-20
30,83,,,,,2026-08-20
30,87,,,,,2026-08-20
31,25,6.00,5.75,5.80,C,2025-08-29
31,27,6.50,8.25,7.70,B,2025-08-29
31,29,5.00,3.25,3.80,F,2025-08-29
31,30,8.00,8.50,8.40,B+,2025-08-29
31,72,5.50,6.25,6.00,C,2026-06-30
32,25,7.50,8.00,7.90,B,2025-09-01
32,27,8.50,7.25,7.60,B,2025-09-01
32,29,6.50,6.00,6.20,C,2025-09-01
32,30,7.50,5.25,5.90,C,2025-09-01
32,46,6.50,9.00,8.30,B+,2026-01-28
32,49,9.50,7.00,7.80,B,2026-01-28
32,50,7.50,10.00,9.30,A,2026-01-28
32,51,4.50,6.25,5.70,C,2026-01-28
32,77,,,,,2026-08-24
32,80,,,,,2026-08-24
32,83,,,,,2026-08-24
32,84,,,,,2026-08-24
33,25,7.50,8.25,8.00,B+,2025-09-06
33,27,8.00,6.50,7.00,B,2025-09-06
33,29,5.50,6.25,6.00,C,2025-09-06
33,39,6.50,9.50,8.60,A,2025-09-06
33,40,8.50,6.50,7.10,B,2025-09-06
33,46,10.00,10.00,10.00,A,2026-02-03
33,49,5.50,9.25,8.10,B+,2026-02-03
33,50,7.00,7.25,7.20,B,2026-02-03
33,64,6.50,8.75,8.10,B+,2026-02-03
33,65,8.00,8.25,8.20,B+,2026-02-03
33,77,,,,,2026-08-31
33,80,,,,,2026-08-31
33,103,,,,,2026-08-31
33,104,,,,,2026-08-31
34,25,8.00,9.00,8.70,A,2025-08-31
34,27,6.50,6.00,6.20,C,2025-08-31
34,29,6.00,6.75,6.50,C+,2025-08-31
34,30,8.00,7.75,7.80,B,2025-08-31
34,46,6.50,7.75,7.40,B,2026-02-08
34,49,6.00,9.00,8.10,B+,2026-02-08
34,50,7.00,5.75,6.10,C,2026-02-08
34,51,7.00,7.00,7.00,B,2026-02-08
34,77,,,,,2026-08-30
34,80,,,,,2026-08-30
34,83,,,,,2026-08-30
34,90,,,,,2026-08-30
35,25,5.00,4.50,4.70,D,2025-08-25
35,27,4.00,5.50,5.10,D+,2025-08-25
35,29,4.50,5.00,4.90,D,2025-08-25
35,35,5.00,5.00,5.00,D+,2025-08-25
35,46,4.00,4.25,4.20,D,2026-02-10
35,49,5.00,4.00,4.30,D,2026-02-10
35,50,3.50,5.00,4.60,D,2026-02-10
35,57,5.50,1.50,2.70,F,2026-02-10
35,61,5.50,3.75,4.30,D,2026-02-10
35,74,6.50,5.50,5.80,C,2026-06-26
35,77,,,,,2026-09-01
35,80,,,,,2026-09-01
35,94,,,,,2026-09-01
35,98,,,,,2026-09-01
36,25,6.00,7.75,7.20,B,2025-09-04
36,27,8.50,8.75,8.70,A,2025-09-04
36,29,6.00,7.50,7.10,B,2025-09-04
36,30,8.50,9.00,8.90,A,2025-09-04
36,46,9.50,6.25,7.20,B,2026-02-03
36,49,6.50,4.50,5.10,D+,2026-02-03
36,50,6.00,6.50,6.40,C,2026-02-03
36,51,7.50,6.25,6.60,C+,2026-02-03
36,77,,,,,2026-08-28
36,80,,,,,2026-08-28
36,83,,,,,2026-08-28
36,84,,,,,2026-08-28
37,25,5.50,6.25,6.00,C,2025-09-05
37,27,6.50,3.75,4.60,D,2025-09-05
37,29,5.50,5.25,5.30,D+,2025-09-05
37,30,6.50,8.00,7.60,B,2025-09-05
37,46,7.50,8.25,8.00,B+,2026-02-02
37,49,4.50,6.00,5.60,C,2026-02-02
37,50,6.00,6.00,6.00,C,2026-02-02
37,51,4.50,6.25,5.70,C,2026-02-02
37,77,,,,,2026-08-24
37,80,,,,,2026-08-24
37,83,,,,,2026-08-24
37,87,,,,,2026-08-24
38,76,,,,,2026-08-28
38,79,,,,,2026-08-28
38,81,,,,,2026-08-28
