admission_id,applicant_id,program_id,admission_method_id,admission_year_id,application_date,admission_score,admission_status
86,43,5,1,2,2025-07-16,25.05,Accepted
87,44,2,1,2,2025-07-18,17.20,Rejected
88,44,3,2,2,2025-05-02,21.10,Rejected
89,45,1,2,2,2025-06-05,25.10,Rejected
90,45,7,1,2,2025-07-21,21.25,Accepted
91,45,1,1,2,2025-07-24,23.45,Rejected
92,46,9,1,2,2025-07-26,19.75,Accepted
93,46,8,1,2,2025-07-22,20.05,Rejected
94,46,2,2,2,2025-04-16,24.40,Rejected
95,47,1,1,2,2025-07-28,21.90,Rejected
96,48,3,1,2,2025-07-21,22.50,Rejected
97,48,1,1,2,2025-07-23,22.85,Rejected
98,49,5,1,2,2025-07-21,20.40,Rejected
99,49,9,2,2,2025-04-07,23.30,Accepted
100,50,8,1,2,2025-07-28,19.40,Rejected
101,50,1,1,2,2025-07-21,20.70,Rejected
102,51,4,2,2,2025-04-10,24.60,Rejected
103,51,7,1,2,2025-07-24,20.30,Rejected
104,52,2,1,2,2025-07-19,19.85,Rejected
105,53,3,1,2,2025-07-18,24.85,Accepted
106,54,4,1,2,2025-07-25,14.75,Rejected
107,54,1,1,2,2025-07-24,12.90,Rejected
108,54,3,1,2,2025-07-17,12.50,Rejected
109,55,3,2,2,2025-03-29,25.60,Accepted
110,55,4,1,2,2025-07-27,23.25,Rejected
111,56,5,1,2,2025-07-17,20.95,Rejected
112,56,3,1,2,2025-07-26,21.90,Rejected
113,57,1,2,2,2025-03-26,24.50,Rejected
114,58,6,1,2,2025-07-19,20.75,Accepted
115,58,3,1,2,2025-07-28,19.35,Rejected
116,59,3,1,2,2025-07-27,26.80,Accepted
117,59,1,1,2,2025-07-19,27.20,Rejected
118,60,5,1,2,2025-07-20,24.70,Accepted
119,60,4,1,2,2025-07-17,23.65,Rejected
120,60,6,2,2,2025-03-20,25.50,Rejected
121,61,8,1,2,2025-07-20,16.50,Rejected
122,61,2,2,2,2025-04-21,19.20,Rejected
123,62,3,1,2,2025-07-28,23.85,Accepted
124,63,1,1,2,2025-07-19,18.30,Rejected
125,64,3,2,2,2025-04-03,24.50,Rejected
126,64,2,1,2,2025-07-24,23.65,Accepted
127,65,4,2,2,2025-05-23,22.70,Rejected
128,66,5,2,2,2025-03-20,22.80,Rejected
129,66,8,1,2,2025-07-23,19.05,Rejected
130,67,1,1,2,2025-07-28,28.65,Accepted
131,67,7,1,2,2025-07-19,27.45,Rejected
132,68,5,1,2,2025-07-24,19.25,Rejected
133,68,8,2,2,2025-04-14,23.20,Rejected
134,68,2,2,2,2025-06-10,24.10,Accepted
135,69,8,2,2,2025-05-25,26.60,Accepted
136,70,6,1,2,2025-07-19,18.20,Rejected
137,70,8,1,2,2025-07-21,20.70,Rejected
138,71,3,1,2,2025-07-16,17.50,Rejected
139,71,6,1,2,2025-07-20,16.95,Rejected
140,72,1,2,2,2025-05-24,24.00,Rejected
141,72,1,1,2,2025-07-24,23.55,Waitlisted
142,73,1,1,2,2025-07-24,23.60,Waitlisted
143,73,6,1,2,2025-07-27,22.40,Accepted
144,74,4,2,2,2025-06-01,26.80,Accepted
145,74,3,2,2,2025-03-28,26.20,Rejected
146,74,4,1,2,2025-07-18,23.20,Rejected
147,75,4,1,2,2025-07-23,25.75,Accepted
148,75,6,2,2,2025-04-28,26.80,Rejected
149,76,3,1,2,2025-07-23,21.95,Rejected
150,76,5,1,2,2025-07-18,22.05,Accepted
151,76,1,2,2,2025-05-07,25.70,Waitlisted
152,77,1,2,2,2025-03-19,23.80,Rejected
153,78,7,1,2,2025-07-22,23.15,Accepted
154,78,9,1,2,2025-07-18,23.95,Rejected
155,78,5,2,2,2025-03-22,27.00,Rejected
156,79,2,3,2,2025-04-14,,Accepted
157,79,5,1,2,2025-07-25,26.50,Rejected
158,79,1,1,2,2025-07-18,27.15,Rejected
159,80,3,1,2,2025-07-18,25.30,Accepted
160,80,7,2,2,2025-04-19,29.50,Rejected
161,81,1,2,3,2026-05-27,26.10,Accepted
162,81,1,1,3,2026-07-24,22.55,Rejected
163,82,6,3,3,2026-04-19,,Accepted
164,82,3,1,3,2026-07-24,25.95,Rejected
165,82,2,2,3,2026-03-23,27.70,Rejected
166,83,4,1,3,2026-07-21,20.35,Rejected
167,83,4,2,3,2026-03-21,23.40,Rejected
168,84,3,2,3,2026-05-03,22.00,Rejected
169,84,2,2,3,2026-04-14,22.50,Rejected
170,84,6,1,3,2026-09-16,19.35,Applied
171,85,7,1,3,2026-07-20,25.35,Accepted
172,86,1,2,3,2026-05-19,28.60,Accepted
173,86,1,1,3,2026-07-26,26.25,Rejected
174,87,2,1,3,2026-07-27,17.65,Rejected
175,87,3,1,3,2026-09-06,18.30,Applied
176,88,8,2,3,2026-05-03,21.70,Rejected
177,88,1,1,3,2026-07-17,18.10,Rejected
178,88,8,1,3,2026-09-13,16.40,Applied
179,89,1,1,3,2026-07-24,23.65,Waitlisted
180,89,8,2,3,2026-06-04,24.90,Accepted
181,90,6,1,3,2026-07-18,16.80,Rejected
182,90,2,2,3,2026-06-12,21.30,Rejected
183,91,3,1,3,2026-07-22,19.50,Rejected
184,91,5,2,3,2026-05-08,22.80,Rejected
185,91,1,1,3,2026-07-17,18.85,Rejected
186,91,8,1,3,2026-09-06,19.10,Applied
187,92,1,2,3,2026-06-15,20.80,Rejected
188,92,3,1,3,2026-07-19,17.05,Rejected
189,92,6,2,3,2026-05-12,22.40,Accepted
190,93,5,1,3,2026-07-19,25.50,Accepted
191,94,6,2,3,2026-04-02,24.70,Accepted
192,94,1,1,3,2026-07-21,18.80,Rejected
193,95,1,1,3,2026-07-26,29.15,Accepted
194,95,6,2,3,2026-05-26,29.80,Rejected
195,96,8,2,3,2026-05-03,22.20,Rejected
196,96,3,2,3,2026-03-15,20.90,Rejected
197,97,1,1,3,2026-07-22,21.70,Rejected
198,97,8,2,3,2026-04-23,25.10,Accepted
199,98,1,2,3,2026-05-19,25.30,Rejected
200,98,5,2,3,2026-05-05,25.30,Accepted
201,99,3,1,3,2026-07-16,21.35,Rejected
202,99,5,1,3,2026-09-12,23.20,Applied
203,100,6,2,3,2026-06-04,24.50,Accepted
204,101,8,1,3,2026-07-16,20.95,Rejected
205,101,7,1,3,2026-07-16,17.70,Rejected
206,102,3,3,3,2026-05-18,,Accepted
207,102,7,1,3,2026-07-17,25.50,Rejected
208,103,1,2,3,2026-04-27,26.20,Accepted
209,104,8,2,3,2026-06-15,26.30,Accepted
210,104,2,2,3,2026-04-25,25.70,Rejected
211,105,6,1,3,2026-07-26,26.50,Accepted
212,105,7,2,3,2026-04-03,29.00,Rejected
213,106,3,2,3,2026-05-07,25.90,Accepted
214,106,5,1,3,2026-07-18,20.35,Rejected
215,106,4,2,3,2026-04-07,25.10,Rejected
216,107,8,3,3,2026-04-20,,Accepted
217,107,3,1,3,2026-07-28,26.05,Rejected
218,108,2,2,3,2026-06-11,23.80,Accepted
219,108,5,2,3,2026-05-19,22.60,Rejected
220,109,5,1,3,2026-07-24,25.15,Accepted
221,109,9,1,3,2026-07-22,23.30,Rejected
222,110,3,3,3,2026-06-06,,Accepted
223,110,6,2,3,2026-06-08,28.60,Rejected
224,111,8,1,3,2026-07-24,20.45,Rejected
225,111,6,1,3,2026-09-11,19.65,Applied
226,112,3,1,3,2026-07-28,25.30,Accepted
227,112,1,1,3,2026-07-17,22.95,Rejected
228,113,9,1,3,2026-07-22,20.20,Accepted
229,113,3,1,3,2026-07-26,20.00,Rejected
230,113,5,2,3,2026-04-02,24.50,Rejected
231,114,2,1,3,2026-07-18,25.25,Accepted
232,114,2,2,3,2026-05-17,27.30,Rejected
233,114,7,1,3,2026-07-17,28.05,Rejected
234,115,3,1,3,2026-07-19,25.80,Accepted
235,115,1,2,3,2026-04-10,25.40,Waitlisted
236,116,4,2,3,2026-03-27,23.20,Rejected
237,116,5,1,3,2026-07-18,18.35,Rejected
238,117,7,2,3,2026-05-08,21.80,Waitlisted
239,117,5,2,3,2026-05-26,22.00,Rejected
240,118,7,1,3,2026-07-24,25.85,Accepted
241,118,8,1,3,2026-07-20,20.65,Rejected
242,118,8,2,3,2026-04-14,26.10,Rejected
243,119,2,2,3,2026-03-18,26.00,Accepted
244,119,1,2,3,2026-06-09,26.70,Rejected
245,120,3,1,3,2026-07-27,25.55,Accepted
246,120,9,2,3,2026-04-18,27.50,Rejected
